"","Opinion","Number.of.employment.years","House.type","term.in.months","Age","Marital.status","Registers","Type.of.employment","Expenses","income","total.wealth","mortgage.left","amount.of.money.solicitated","price.of.good.to.buy","weight","funding.ratio","saving.capacity","fold"
"769","Positive",2,"ownerwithdeed",3,40,"married","No","Permanent","less miser",125,1,0,800,1200,0.2,1,2,3
"770","Negative",3,"ownerwithdeed",4,43,"married","No","Permanent","less spenthrift",100,1,0,1400,1403,0.2,3,2,7
"771","Negative",2,"rented",5,38,"married","Yes","Permanent","less spenthrift",130,1,0,900,1086,0.2,2,2,9
"772","Positive",3,"others",5,41,"married","Yes","Permanent","less miser",131,1,0,1200,1200,0.2,3,2,9
"773","Positive",2,"ownerwithdeed",5,55,"married","No","Self","less miser",350,1,3000,1700,2200,0.2,2,2,9
"774","Positive",3,"parents",5,32,"married","No","Self","less miser",538,1,0,1400,2360,0.2,1,2,7
"775","Positive",2,"parents",18,42,"married","No","Self","less miser",276,1,0,750,1758,0.2,1,2,8
"776","Positive",2,"parents",5,23,"single","No","Permanent","miser",107,1,0,700,1783,0.2,1,2,3
"777","Negative",3,"rented",5,41,"married","No","Self","less miser",0,1,0,1100,1108,0.2,3,2,10
"778","Positive",3,"ownerwithdeed",5,50,"widower","No","Permanent","less miser",156,1,0,700,1136,0.2,1,2,7
"779","Positive",3,"ownerwithdeed",5,49,"married","No","Permanent","less spenthrift",110,1,600,1350,1557,0.2,2,2,6
"780","Positive",3,"ownerwithdeed",4,62,"married","No","Permanent","less miser",260,1,500,800,886,0.2,2,2,4
"781","Positive",2,"ownerwithdeed",5,43,"married","No","Temporaray","less miser",0,1,0,1000,1490,0.2,1,2,7
"782","Positive",3,"rented",3,23,"married","No","Permanent","less miser",81,1,0,400,400,0.2,3,2,6
"783","Negative",2,"ownerwithdeed",5,33,"married","No","Temporaray","less miser",76,1,550,800,1105,0.2,2,2,1
"784","Positive",3,"others",5,25,"married","No","Permanent","less miser",98,1,0,600,1131,0.2,1,2,5
"785","Negative",2,"ownerwithdeed",18,50,"married","No","Self","less spenthrift",0,1,0,700,1256,0.2,1,2,9
"786","Positive",3,"ownerwithdeed",5,37,"married","No","Permanent","less miser",132,1,1500,1400,1571,0.2,2,2,8
"787","Positive",3,"parents",3,27,"single","No","Permanent","miser",105,1,2350,1000,1443,0.2,1,2,8
"788","Positive",2,"ownerwithdeed",5,47,"married","No","Permanent","less miser",300,1,0,1060,1160,0.2,2,2,6
"789","Positive",2,"parents",4,22,"married","No","Permanent","less miser",117,1,0,768,896,0.2,2,2,6
"790","Positive",3,"others",5,39,"married","No","Permanent","less miser",119,1,0,1300,1639,0.2,2,2,9
"791","Positive",2,"ownerwithdeed",2,46,"married","No","Permanent","less spenthrift",140,1,0,350,1571,0.2,1,2,6
"792","Negative",2,"parents",4,19,"single","No","Permanent","miser",70,1,0,1000,1075,0.2,2,2,4
"793","Positive",3,"ownerwithdeed",5,24,"single","No","Self","miser",265,1,0,1200,1590,0.2,2,2,6
"794","Positive",3,"rented",3,43,"married","No","Permanent","less miser",180,1,0,1600,2200,0.2,2,2,6
"795","Positive",2,"ownerwithdeed",3,42,"married","No","Temporaray","less miser",62,1,0,300,450,0.2,1,2,6
"796","Positive",3,"private",2,32,"single","No","Self","miser",189,1,3900,1000,1536,0.2,1,2,8
"797","Negative",2,"rented",5,27,"single","No","Permanent","miser",75,1,0,1000,1375,0.2,2,2,10
"798","Negative",2,"parents",5,34,"single","No","Temporaray","miser",70,1,0,900,1005,0.2,2,2,4
"799","Positive",3,"ownerwithdeed",5,43,"married","No","Permanent","less miser",188,1,0,1000,1264,0.2,2,2,5
"800","Positive",3,"parents",3,21,"single","No","Permanent","miser",150,1,0,1000,1313,0.2,2,2,1
"801","Positive",3,"ownerwithdeed",4,36,"married","No","Permanent","less miser",124,1,0,700,1365,0.2,1,2,2
"802","Positive",2,"parents",5,23,"single","No","Permanent","less miser",113,1,0,900,1105,0.2,2,2,7
"803","Positive",3,"others",2,40,"married","No","Permanent","less miser",98,1,0,500,1100,0.2,1,2,9
"804","Positive",3,"parents",2,25,"single","No","Permanent","miser",110,1,0,850,1480,0.2,1,2,4
"805","Positive",3,"private",5,38,"married","Yes","Permanent","less spenthrift",195,1,200,1150,1310,0.2,2,2,10
"806","Positive",2,"rented",3,58,"married","No","Others","less miser",159,1,0,950,1265,0.2,2,2,7
"807","Negative",2,"private",2,41,"married","Yes","Self","less spenthrift",959,1,500,1050,1474,0.2,2,2,5
"808","Positive",3,"rented",3,39,"married","No","Self","less spenthrift",170,1,0,950,980,0.2,2,2,3
"809","Positive",2,"parents",2,19,"single","No","Permanent","miser",28,1,0,400,600,0.2,1,2,5
"810","Negative",2,"rented",4,31,"married","No","Self","less spenthrift",268,1,0,1400,1635,0.2,2,2,2
"811","Negative",2,"ownerwithdeed",4,28,"married","No","Temporaray","less miser",155,1,1641,800,1376,0.2,1,2,10
"812","Positive",3,"rented",3,49,"married","No","Permanent","less miser",240,1,0,675,675,0.2,3,2,6
"813","Positive",2,"ownerwithdeed",5,47,"married","Yes","Permanent","less spenthrift",500,1,0,1800,2000,0.2,2,2,2
"814","Negative",2,"ownerwithdeed",5,42,"married","No","Permanent","less miser",135,1,0,978,978,0.2,3,2,8
"815","Negative",2,"parents",5,25,"single","No","Temporaray","miser",225,1,0,1130,1130,0.2,3,2,2
"816","Positive",2,"ownerwithdeed",4,48,"married","No","Self","less miser",100,1,0,1600,2600,0.2,1,2,1
"817","Positive",3,"ownerwithdeed",3,52,"married","No","Permanent","less miser",190,1,0,800,950,0.2,2,2,5
"818","Negative",2,"ownerwithdeed",5,37,"married","No","Self","less miser",200,1,0,1400,1493,0.2,2,2,4
"819","Positive",2,"rented",3,45,"married","No","Permanent","less spenthrift",154,1,0,600,2240,0.2,1,2,2
"820","Positive",3,"ownerwithdeed",5,30,"married","No","Permanent","less miser",210,1,0,1100,1224,0.2,2,2,5
"821","Negative",2,"rented",3,38,"married","Yes","Permanent","less miser",145,1,0,650,1000,0.2,1,2,10
"822","Negative",3,"ownerwithdeed",5,50,"married","No","Permanent","less spenthrift",210,1,0,2100,2500,0.2,2,2,7
"823","Negative",2,"parents",5,29,"married","Yes","Temporaray","miser",102,1,0,1100,1120,0.2,98.2142857142857,2,10
"824","Negative",3,"rented",2,52,"married","No","Self","less miser",0,1,0,400,1242,0.2,1,2,5
"825","Positive",2,"ownerwithdeed",3,42,"married","No","Permanent","less spenthrift",75,1,0,400,725,0.2,1,2,4
"826","Positive",2,"ownerwithdeed",3,37,"married","No","Self","less miser",150,1,1500,500,720,0.2,1,2,8
"827","Positive",2,"parents",3,36,"single","No","Permanent","miser",120,1,0,1000,2470,0.2,1,2,5
"828","Negative",3,"rented",5,33,"married","Yes","Self","less miser",36,1,0,1150,1150,0.2,3,2,10
"829","Positive",3,"ownerwithdeed",3,41,"married","No","Self","less spenthrift",129,1,0,1000,1655,0.2,1,2,4
"830","Positive",3,"parents",5,23,"married","No","Permanent","less miser",125,1,0,900,1389,0.2,1,2,4
"831","Positive",3,"others",4,30,"married","No","Permanent","less miser",156,1,0,1100,1310,0.2,2,2,6
"832","Negative",3,"ownerwithdeed",5,27,"married","No","Permanent","less miser",72,1,1300,750,758,0.2,98.9445910290237,2,10
"833","Positive",3,"others",2,33,"married","No","Permanent","less miser",166,1,0,1150,1770,0.2,1,2,1
"834","Negative",2,"parents",3,23,"single","No","Temporaray","miser",75,1,0,350,425,0.2,2,2,2
"835","Positive",3,"ownerwithdeed",2,41,"married","No","Permanent","less spenthrift",125,1,400,250,1035,0.2,1,2,3
"836","Positive",3,"rented",5,52,"married","No","Self","less miser",250,1,0,1200,1226,0.2,2,2,3
"837","Positive",3,"ownerwithdeed",3,58,"married","No","Permanent","less miser",128,1,0,1500,1750,0.2,2,2,4
"838","Positive",3,"ownerwithdeed",3,46,"married","No","Permanent","less miser",155,1,0,1000,1800,0.2,1,2,1
"839","Positive",2,"ownerwithdeed",5,28,"married","No","Permanent","less miser",459,1,9700,600,2150,0.2,1,2,9
"840","Positive",3,"ownerwithdeed",4,38,"married","No","Permanent","less miser",360,1,4000,1700,1713,0.2,3,2,9
"841","Negative",2,"rented",3,39,"married","No","Permanent","less miser",100,1,0,600,975,0.2,1,2,2
"842","Positive",3,"rented",5,24,"married","No","Permanent","less miser",80,1,0,400,650,0.2,1,2,3
"843","Positive",2,"ownerwithdeed",5,41,"married","No","Permanent","less spenthrift",250,1,2000,800,916,0.2,2,2,1
"844","Positive",3,"others",3,51,"married","No","Permanent","less miser",105,1,0,625,625,0.2,3,2,6
"845","Positive",3,"ownerwithdeed",3,56,"married","Yes","Self","less spenthrift",300,1,1300,1100,1318,0.2,2,2,5
"846","Positive",2,"others",2,24,"married","No","Self","less miser",137,1,0,300,750,0.2,1,2,5
"847","Positive",3,"ownerwithdeed",1,49,"married","No","Permanent","less spenthrift",110,1,0,125,325,0.2,1,2,7
"848","Positive",2,"ownerwithdeed",3,21,"single","No","Permanent","miser",127,1,0,850,1014,0.2,2,2,5
"849","Negative",3,"ownerwithdeed",5,34,"separated","No","Permanent","miser",56,1,1500,1250,1525,0.2,2,2,8
"850","Positive",2,"ownerwithdeed",5,38,"married","No","Permanent","less spenthrift",75,1,0,1000,1144,0.2,2,2,10
"851","Positive",2,"ownerwithdeed",3,58,"widower","No","Others","miser",52,1,0,400,550,0.2,2,2,10
"852","Positive",2,"parents",5,39,"single","No","Permanent","miser",100,1,0,1000,1556,0.2,1,2,3
"853","Positive",3,"rented",5,60,"married","No","Permanent","less miser",170,1,0,915,1396,0.2,1,2,8
"854","Positive",3,"private",5,23,"single","No","Permanent","miser",150,1,3800,1000,2470,0.2,1,2,8
"855","Positive",3,"ownerwithdeed",1,37,"married","No","Permanent","less miser",188,1,1000,600,1890,0.2,1,2,7
"856","Positive",3,"private",3,48,"married","Yes","Permanent","less miser",175,1,0,475,575,0.2,2,2,7
"857","Positive",2,"parents",5,26,"married","No","Permanent","less miser",64,1,0,1150,1294,0.2,2,2,4
"858","Negative",2,"parents",3,23,"single","No","Temporaray","miser",110,1,0,650,710,0.2,2,2,7
"859","Positive",3,"ownerwithdeed",5,34,"married","No","Permanent","less miser",186,1,0,1900,2600,0.2,2,2,5
"860","Positive",3,"ownerwithdeed",5,46,"single","No","Permanent","less miser",140,1,0,1800,1849,0.2,2,2,8
"861","Positive",3,"ownerwithdeed",1,51,"married","No","Self","less miser",200,1,0,350,450,0.2,2,2,9
"862","Positive",3,"ownerwithdeed",5,45,"married","No","Permanent","less spenthrift",135,1,3500,1100,1369,0.2,2,2,4
"863","Positive",2,"ownerwithdeed",5,55,"married","No","Permanent","less miser",130,1,0,1800,2281,0.2,2,2,2
"864","Negative",2,"ownerwithdeed",4,39,"married","No","Self","less miser",200,1,0,3075,4575,0.2,1,2,7
"865","Positive",3,"parents",5,33,"married","Yes","Temporaray","less miser",0,1,0,1250,1332,0.2,2,2,10
"866","Positive",3,"rented",3,52,"married","No","Self","less miser",0,1,0,200,1240,0.2,1,2,8
"867","Positive",3,"ownerwithdeed",5,26,"married","No","Permanent","less miser",90,1,0,900,931,0.2,2,2,9
"868","Positive",3,"ownerwithdeed",5,47,"married","No","Permanent","less miser",175,1,1500,1000,1330,0.2,2,2,4
"869","Positive",2,"ownerwithdeed",18,31,"married","No","Temporaray","less spenthrift",197,1,300,860,1192,0.2,2,2,1
"870","Negative",2,"ownerwithdeed",4,50,"married","No","Permanent","less spenthrift",125,1,0,800,950,0.2,2,2,1
"871","Positive",3,"ownerwithdeed",3,39,"married","Yes","Self","less miser",170,1,1200,1100,1900,0.2,1,2,3
"872","Negative",3,"rented",4,36,"married","Yes","Self","less spenthrift",247,1,0,1500,1810,0.2,2,2,1
"873","Negative",2,"others",5,47,"married","Yes","Others","less miser",250,1,0,1300,1700,0.2,2,2,4
"874","Positive",3,"ownerwithdeed",2,45,"married","No","Permanent","less miser",130,1,0,450,1318,0.2,1,2,7
"875","Positive",3,"others",2,40,"married","Yes","Permanent","less miser",207,1,0,600,750,0.2,2,2,7
"876","Negative",3,"rented",5,36,"married","Yes","Self","less spenthrift",65,1,0,1000,1168,0.2,2,2,3
"877","Positive",2,"ownerwithdeed",3,43,"married","Yes","Self","less spenthrift",180,1,560,700,1300,0.2,1,2,9
"878","Negative",2,"ownerwithdeed",4,44,"married","No","Self","less miser",250,1,9300,700,1111,0.2,1,2,5
"879","Positive",2,"ownerwithdeed",5,55,"married","No","Others","less miser",129,1,0,970,1264,0.2,2,2,6
"880","Negative",2,"rented",5,32,"married","No","Self","less spenthrift",0,1,0,1600,1692,0.2,2,2,10
"881","Negative",2,"others",4,26,"single","No","Temporaray","miser",116,1,0,1100,1123,0.2,2,2,6
"882","Positive",3,"ownerwithdeed",5,33,"married","No","Permanent","less miser",88,1,0,1000,1386,0.2,2,2,7
"883","Positive",3,"rented",2,27,"married","No","Temporaray","less miser",120,1,0,900,1395,0.2,1,2,4
"884","Negative",2,"rented",5,24,"married","No","Permanent","less miser",100,1,0,900,1127,0.2,2,2,5
"885","Positive",2,"ownerwithdeed",5,29,"married","No","Permanent","less miser",100,1,0,800,960,0.2,2,2,2
"886","Negative",2,"parents",5,20,"single","No","Self","miser",113,1,0,1500,2179,0.2,1,2,10
"887","Positive",3,"ownerwithdeed",3,46,"married","Yes","Self","less spenthrift",80,1,0,850,886,0.2,2,2,4
"888","Positive",3,"ownerwithdeed",5,62,"married","No","Permanent","less miser",150,1,400,800,1314,0.2,1,2,3
"889","Negative",2,"others",3,49,"married","Yes","Self","less miser",0,1,0,2400,2800,0.2,2,2,1
"890","Positive",2,"parents",5,27,"single","No","Permanent","miser",71,1,0,600,960,0.2,1,2,9
"891","Negative",2,"rented",5,52,"divorced","No","Permanent","less miser",99,1,0,750,873,0.2,2,2,10
"892","Positive",2,"others",3,26,"single","No","Permanent","miser",63,1,0,300,1111,0.2,1,2,2
"893","Negative",3,"ownerwithdeed",5,43,"married","Yes","Self","less miser",166,1,700,1000,1040,0.2,2,2,1
"894","Positive",3,"parents",5,34,"married","No","Permanent","less miser",108,1,0,1000,1995,0.2,1,2,1
"895","Positive",3,"rented",5,37,"married","No","Permanent","less miser",134,1,0,900,1333,0.2,1,2,8
"896","Positive",3,"rented",3,37,"married","No","Permanent","less miser",138,1,0,900,1358,0.2,1,2,8
"897","Positive",2,"ownerwithdeed",4,39,"married","No","Permanent","less miser",110,1,0,1270,1613,0.2,2,2,4
"898","Positive",2,"ownerwithdeed",5,26,"married","No","Permanent","less miser",160,1,0,1300,1855,0.2,2,2,1
"899","Positive",2,"ownerwithdeed",5,34,"married","No","Permanent","less miser",176,1,450,1800,2271,0.2,2,2,10
"900","Negative",2,"parents",5,30,"separated","No","Temporaray","miser",70,1,0,925,925,0.2,3,2,1
"901","Positive",2,"rented",5,26,"married","No","Permanent","less miser",60,1,0,1750,1950,0.2,2,2,9
"902","Positive",3,"others",6,58,"married","Yes","Permanent","less miser",130,1,0,500,2058,0.2,1,2,5
"903","Positive",2,"parents",5,36,"single","No","Permanent","miser",176,1,0,1100,1600,0.2,1,2,5
"904","Positive",3,"ownerwithdeed",5,40,"married","No","Permanent","less spenthrift",130,1,0,800,860,0.2,2,2,1
"905","Positive",3,"ownerwithdeed",3,49,"widower","No","Permanent","miser",108,1,0,350,875,0.2,1,2,2
"906","Positive",3,"ownerwithdeed",5,55,"married","No","Self","less miser",0,1,3650,1200,1710,0.2,2,2,4
"907","Positive",2,"ownerwithdeed",5,25,"married","No","Self","less miser",150,1,2000,1000,1260,0.2,2,2,9
"908","Positive",3,"rented",3,33,"married","No","Permanent","less spenthrift",183,1,0,950,1705,0.2,1,2,2
"909","Positive",3,"rented",5,38,"married","No","Permanent","less miser",108,1,0,1000,1307,0.2,2,2,8
"910","Positive",3,"others",3,38,"married","Yes","Self","less spenthrift",200,1,0,1550,1982,0.2,2,2,5
"911","Positive",3,"rented",1,33,"married","No","Permanent","less miser",180,1,0,300,1479,0.2,1,2,6
"912","Negative",2,"parents",4,22,"single","Yes","Temporaray","less miser",0,1,0,1000,1449,0.2,1,2,8
"913","Positive",3,"rented",5,42,"married","No","Permanent","less miser",130,1,0,1000,1308,0.2,2,2,10
"914","Negative",2,"rented",4,47,"married","No","Permanent","less miser",140,1,0,2000,2201,0.2,2,2,9
"915","Positive",2,"ownerwithdeed",5,25,"married","No","Permanent","less miser",141,1,0,1250,1350,0.2,2,2,8
"916","Positive",3,"ownerwithdeed",4,42,"married","No","Permanent","less miser",127,1,0,700,1386,0.2,1,2,7
"917","Positive",3,"ownerwithdeed",4,52,"married","No","Permanent","less miser",117,1,0,1650,2276,0.2,2,2,9
"918","Positive",3,"rented",3,36,"married","Yes","Permanent","less spenthrift",130,1,0,400,1608,0.2,1,2,5
"919","Positive",3,"ownerwithdeed",5,28,"married","Yes","Self","less miser",240,1,0,1300,1585,0.2,2,2,9
"920","Positive",3,"parents",5,33,"single","Yes","Permanent","miser",425,1,0,900,1320,0.2,1,2,9
"921","Positive",3,"ownerwithdeed",5,46,"married","Yes","Self","less miser",800,1,2050,2600,3190,0.2,2,2,8
"922","Positive",2,"parents",5,22,"single","No","Permanent","miser",80,1,0,1000,1500,0.2,1,2,6
"923","Positive",2,"rented",5,22,"single","No","Permanent","less miser",95,1,0,1250,1571,0.2,2,2,6
"924","Negative",2,"ownerwithdeed",5,23,"single","No","Temporaray","miser",71,1,0,1150,1386,0.2,2,2,10
"925","Positive",3,"others",5,29,"married","No","Permanent","less miser",135,1,0,1400,1680,0.2,2,2,8
"926","Positive",2,"parents",3,29,"single","No","Permanent","miser",47,1,0,400,450,0.2,2,2,6
"927","Positive",3,"parents",1,37,"married","No","Permanent","less spenthrift",250,1,0,240,1488,0.2,1,2,3
"928","Positive",2,"others",1,30,"single","No","Self","miser",150,1,0,920,1396,0.2,1,2,3
"929","Positive",3,"ownerwithdeed",4,52,"married","No","Permanent","less miser",118,1,0,750,1255,0.2,1,2,4
"930","Positive",3,"ownerwithdeed",4,46,"married","No","Permanent","less miser",130,1,0,1480,1883,0.2,2,2,4
"931","Positive",3,"ownerwithdeed",3,51,"married","No","Permanent","less miser",125,1,200,375,375,0.2,3,2,4
"932","Positive",3,"rented",5,28,"married","No","Self","less miser",171,1,0,2500,3070,0.2,2,2,8
"933","Positive",2,"ownerwithdeed",3,33,"married","No","Permanent","less miser",265,1,1100,1400,2189,0.2,1,2,8
"934","Positive",3,"rented",5,39,"single","No","Self","less miser",100,1,0,1450,1692,0.2,2,2,1
"935","Negative",2,"rented",5,33,"married","No","Self","less miser",69,1,0,2000,2216,0.2,2,2,9
"936","Positive",3,"ownerwithdeed",4,40,"married","No","Permanent","less miser",293,1,0,1298,1298,0.2,3,2,6
"937","Positive",3,"private",2,59,"widower","No","Permanent","miser",87,1,0,425,750,0.2,1,2,9
"938","Positive",3,"ownerwithdeed",5,32,"married","No","Permanent","less miser",110,1,2000,1400,1830,0.2,2,2,10
"939","Positive",2,"ownerwithdeed",5,45,"married","No","Self","less miser",75,1,0,1100,1242,0.2,2,2,8
"940","Negative",2,"others",4,38,"married","No","Self","less miser",40,1,0,600,882,0.2,1,2,3
"941","Positive",2,"ownerwithdeed",5,26,"married","No","Permanent","less miser",140,1,1500,600,1137,0.2,1,2,9
"942","Negative",2,"rented",2,29,"married","No","Self","less miser",0,1,0,275,275,0.2,3,2,9
"943","Negative",2,"parents",3,21,"single","No","Temporaray","less miser",161,1,0,580,580,0.2,3,2,2
"944","Positive",2,"parents",6,31,"single","No","Permanent","miser",70,1,0,850,1403,0.2,1,2,10
"945","Positive",3,"ownerwithdeed",3,32,"married","No","Permanent","less miser",65,1,0,700,957,0.2,2,2,10
"946","Positive",2,"others",2,40,"married","No","Temporaray","less miser",66,1,0,1300,1300,0.2,3,2,9
"947","Negative",2,"rented",4,29,"married","Yes","Permanent","miser",73,1,0,579,1097,0.2,1,2,7
"948","Positive",3,"rented",3,33,"married","No","Self","less miser",178,1,0,700,1033,0.2,1,2,4
"949","Positive",2,"parents",5,29,"separated","No","Temporaray","miser",140,1,0,763,913,0.2,2,2,7
"950","Negative",2,"ownerwithdeed",5,57,"single","No","Self","miser",50,1,0,960,962,0.2,3,2,7
"951","Negative",2,"ownerwithdeed",5,23,"married","No","Permanent","less miser",78,1,6300,1075,1123,0.2,2,2,7
"952","Negative",3,"ownerwithdeed",3,36,"married","No","Self","less miser",0,1,0,1000,1400,0.2,2,2,1
"953","Positive",3,"ownerwithdeed",5,38,"married","No","Self","less miser",350,1,0,1500,1800,0.2,2,2,5
"954","Positive",2,"rented",4,45,"married","No","Permanent","less miser",140,1,0,1800,1980,0.2,2,2,1
"955","Positive",2,"ownerwithdeed",3,51,"married","No","Temporaray","less miser",125,1,0,600,989,0.2,1,2,9
"956","Positive",3,"rented",4,42,"married","Yes","Permanent","less spenthrift",121,1,0,1000,1250,0.2,2,2,10
"957","Positive",2,"ownerwithdeed",5,22,"single","No","Temporaray","miser",155,1,0,1100,1646,0.2,1,2,7
"958","Positive",2,"private",4,26,"single","No","Permanent","miser",133,1,0,1000,1114,0.2,2,2,6
"959","Positive",3,"ownerwithdeed",5,51,"married","No","Permanent","less miser",117,1,0,1000,1365,0.2,2,2,9
"960","Negative",2,"parents",3,33,"single","No","Permanent","miser",125,1,0,600,1600,0.2,1,2,10
"961","Positive",3,"private",4,43,"married","Yes","Permanent","less miser",136,1,500,940,1133,0.2,2,2,1
"962","Positive",2,"ownerwithdeed",1,32,"married","No","Self","less miser",25,1,1800,100,550,0.2,1,2,8
"963","Negative",3,"rented",3,52,"married","No","Permanent","less spenthrift",176,1,0,350,350,0.2,3,2,7
"964","Positive",3,"others",1,65,"married","Yes","Self","less miser",430,1,0,1000,1321,0.2,2,2,10
"965","Negative",2,"rented",5,32,"married","No","Permanent","less spenthrift",125,1,0,1200,1225,0.2,2,2,8
"966","Positive",3,"ownerwithdeed",5,29,"widower","No","Permanent","miser",79,1,0,850,950,0.2,2,2,5
"967","Negative",2,"rented",3,25,"married","Yes","Temporaray","less miser",92,1,0,475,550,0.2,2,2,1
"968","Positive",2,"parents",5,22,"married","No","Permanent","less miser",176,1,0,1150,1277,0.2,2,2,7
"969","Negative",2,"private",5,53,"married","No","Permanent","less miser",85,1,0,1050,1172,0.2,2,2,1
"970","Positive",2,"ownerwithdeed",2,47,"married","No","Permanent","less spenthrift",188,1,0,700,1318,0.2,1,2,4
"971","Positive",2,"rented",4,34,"married","No","Self","less miser",300,1,0,1700,2185,0.2,2,2,10
"972","Negative",2,"parents",5,23,"single","No","Permanent","miser",100,1,0,1500,2610,0.2,1,2,1
"973","Positive",3,"rented",5,54,"married","No","Permanent","less miser",120,1,0,1000,1257,0.2,2,2,5
"974","Positive",2,"parents",1,22,"single","No","Temporaray","miser",60,1,0,100,600,0.2,1,2,6
"975","Negative",2,"rented",4,46,"married","No","Permanent","less spenthrift",125,1,0,1100,1408,0.2,2,2,10
"976","Positive",3,"ownerwithdeed",1,42,"married","No","Permanent","less spenthrift",464,1,0,1100,2413,0.2,1,2,5
"977","Positive",3,"parents",5,45,"married","Yes","Permanent","miser",176,1,0,1000,1388,0.2,2,2,4
"978","Positive",3,"parents",5,49,"single","No","Permanent","miser",90,1,0,1600,1636,0.2,2,2,10
"979","Positive",3,"ownerwithdeed",5,28,"married","No","Self","less miser",200,1,0,750,850,0.2,2,2,7
"980","Positive",2,"parents",2,22,"single","No","Permanent","miser",415,1,0,700,1757,0.2,1,2,9
"981","Positive",3,"ownerwithdeed",5,27,"married","No","Permanent","less miser",318,1,3300,1350,1600,0.2,2,2,2
"982","Positive",3,"ownerwithdeed",18,33,"single","No","Permanent","miser",163,1,0,1200,2022,0.2,1,2,10
"983","Negative",2,"rented",5,52,"married","No","Permanent","less spenthrift",72,1,0,1200,1200,0.2,3,2,7
"984","Positive",2,"ownerwithdeed",5,34,"married","No","Permanent","less miser",156,1,198,1550,1550,0.2,3,2,9
"985","Negative",2,"ownerwithdeed",3,43,"widower","No","Others","miser",49,1,0,400,710,0.2,1,2,4
"986","Positive",3,"ownerwithdeed",5,40,"married","No","Permanent","less miser",110,1,0,950,1286,0.2,2,2,10
"987","Positive",2,"ownerwithdeed",5,31,"married","No","Permanent","less miser",140,1,1200,900,1400,0.2,1,2,6
"988","Positive",2,"ownerwithdeed",3,31,"married","No","Self","less miser",92,1,850,600,1638,0.2,1,2,3
"989","Negative",2,"rented",5,27,"widower","Yes","Self","miser",0,1,0,1700,1700,0.2,3,2,7
"990","Positive",3,"ownerwithdeed",2,42,"married","No","Temporaray","less miser",145,1,0,500,1850,0.2,1,2,7
"991","Positive",2,"parents",5,35,"married","No","Permanent","less miser",104,1,0,1200,1677,0.2,2,2,6
"992","Positive",2,"ownerwithdeed",3,42,"married","Yes","Self","less miser",400,1,0,1500,1900,0.2,2,2,9
"993","Positive",2,"ownerwithdeed",4,24,"married","No","Temporaray","less miser",95,1,0,1000,1601,0.2,1,2,9
"994","Positive",3,"ownerwithdeed",6,31,"married","No","Self","less miser",150,1,0,300,1200,0.2,1,2,3
"995","Positive",2,"parents",1,53,"single","No","Permanent","miser",160,1,0,250,1456,0.2,1,2,10
"996","Positive",3,"ownerwithdeed",5,59,"married","No","Permanent","less miser",177,1,0,1450,1456,0.2,3,2,3
"997","Positive",3,"ownerwithdeed",4,38,"married","No","Permanent","less miser",85,1,0,500,960,0.2,1,2,2
"998","Negative",3,"rented",3,49,"married","Yes","Self","less spenthrift",380,1,0,1000,1337,0.2,2,2,9
"999","Positive",3,"ownerwithdeed",5,42,"married","No","Permanent","less miser",107,1,0,1000,1359,0.2,2,2,9
"1000","Positive",2,"ownerwithdeed",3,54,"married","No","Others","less miser",134,1,0,625,801,0.2,2,2,5
"1001","Negative",2,"rented",5,24,"single","No","Permanent","miser",0,1,0,850,989,0.2,2,2,5
"1002","Positive",3,"rented",5,39,"married","No","Permanent","less spenthrift",191,1,0,2000,2536,0.2,2,2,6
"1003","Negative",2,"ownerwithdeed",5,48,"married","No","Temporaray","less miser",100,1,0,1000,1129,0.2,2,2,1
"1004","Positive",2,"parents",3,20,"single","No","Permanent","miser",110,1,0,500,1314,0.2,1,2,4
"1005","Negative",3,"others",4,32,"married","Yes","Permanent","less miser",225,1,0,1000,1812,0.2,1,2,2
"1006","Positive",3,"parents",5,51,"married","Yes","Permanent","less miser",100,1,0,300,1742,0.2,1,2,8
"1007","Positive",3,"ownerwithdeed",4,54,"married","No","Permanent","less miser",217,1,0,1250,1455,0.2,2,2,6
"1008","Negative",2,"others",3,40,"married","Yes","Permanent","less miser",176,1,0,950,1150,0.2,2,2,2
"1009","Positive",2,"ownerwithdeed",2,29,"married","No","Permanent","less miser",254,1,800,500,1900,0.2,1,2,6
"1010","Negative",2,"others",5,27,"married","No","Permanent","less spenthrift",126,1,0,1400,1800,0.2,2,2,9
"1011","Positive",2,"ownerwithdeed",5,57,"married","No","Self","less miser",200,1,0,950,1070,0.2,2,2,5
"1012","Negative",2,"others",5,36,"married","No","Permanent","less miser",101,1,0,850,1098,0.2,2,2,10
"1013","Negative",3,"parents",5,31,"married","No","Permanent","less miser",119,1,0,1600,1750,0.2,2,2,4
"1014","Positive",2,"ownerwithdeed",4,22,"single","No","Permanent","miser",152,1,0,1210,1325,0.2,2,2,8
"1015","Negative",2,"parents",4,40,"married","No","Temporaray","less spenthrift",113,1,0,600,710,0.2,2,2,1
"1016","Positive",3,"others",3,54,"married","No","Permanent","less miser",119,1,0,300,1268,0.2,1,2,9
"1017","Negative",2,"rented",5,39,"single","Yes","Permanent","miser",0,1,0,2350,2679,0.2,2,2,10
"1018","Positive",3,"parents",5,26,"single","No","Self","miser",75,1,0,850,989,0.2,2,2,9
